osmid,y,x,street_count,highway,railway,junction,geometry
302534344,51.6886832,39.2519039,3,,,,POINT (39.2519039 51.6886832)
302534398,51.6885241,39.2507952,3,,,,POINT (39.2507952 51.6885241)
302534402,51.6892235,39.2498146,3,,,,POINT (39.2498146 51.6892235)
302534419,51.6893916,39.2498733,3,,,,POINT (39.2498733 51.6893916)
302534527,51.6888742,39.25201,3,,,,POINT (39.25201 51.6888742)
302534532,51.6893796,39.2513487,3,,,,POINT (39.2513487 51.6893796)
302535950,51.6925713,39.2256833,3,,,,POINT (39.2256833 51.6925713)
302535958,51.6946113,39.2282225,3,,,,POINT (39.2282225 51.6946113)
302636532,51.6779399,39.3020287,3,,,,POINT (39.3020287 51.6779399)
302636821,51.6783984,39.2954977,3,,,,POINT (39.2954977 51.6783984)
302637310,51.6806557,39.30182,3,,,,POINT (39.30182 51.6806557)
302637994,51.6784032,39.3015275,3,motorway_junction,,,POINT (39.3015275 51.6784032)
302639000,51.6781936,39.2954679,3,,,,POINT (39.2954679 51.6781936)
302639012,51.674985,39.3010973,3,,,,POINT (39.3010973 51.674985)
302639135,51.677739,39.3070499,3,motorway_junction,,,POINT (39.3070499 51.677739)
302639877,51.6993624,39.3217259,3,,,,POINT (39.3217259 51.6993624)
302640602,51.6939315,39.3076438,3,,,,POINT (39.3076438 51.6939315)
302641206,51.6917627,39.303019,3,,,,POINT (39.303019 51.6917627)
302641512,51.6956448,39.3035533,3,,,,POINT (39.3035533 51.6956448)
303500493,51.6853021,39.2858287,3,,,,POINT (39.2858287 51.6853021)
303500494,51.6897413,39.2868891,1,,,,POINT (39.2868891 51.6897413)
303500754,51.6842402,39.2828571,3,traffic_signals,,,POINT (39.2828571 51.6842402)
303500756,51.6892797,39.2791038,3,,,,POINT (39.2791038 51.6892797)
303511746,51.6907595,39.2512655,3,,,,POINT (39.2512655 51.6907595)
303511751,51.6902366,39.2519372,3,,,,POINT (39.2519372 51.6902366)
303743989,51.7028537,39.2786862,3,,,,POINT (39.2786862 51.7028537)
304234339,51.6946826,39.2635927,3,,,,POINT (39.2635927 51.6946826)
305006542,51.694494,39.2292011,3,,,,POINT (39.2292011 51.694494)
305006576,51.6921498,39.2330659,3,,,,POINT (39.2330659 51.6921498)
305007002,51.6805535,39.2280593,3,,,,POINT (39.2280593 51.6805535)
305007895,51.6941203,39.2336964,3,,,,POINT (39.2336964 51.6941203)
305007904,51.7103074,39.2402845,3,,,,POINT (39.2402845 51.7103074)
305010099,51.6342574,39.2369322,4,,,,POINT (39.2369322 51.6342574)
305010103,51.6458432,39.2428339,3,,,,POINT (39.2428339 51.6458432)
305010106,51.6568615,39.2485437,3,,,,POINT (39.2485437 51.6568615)
305011520,51.6819147,39.2155278,3,,,,POINT (39.2155278 51.6819147)
305013369,51.6746836,39.2114424,4,traffic_signals,,,POINT (39.2114424 51.6746836)
305014313,51.6923238,39.2054975,3,,,,POINT (39.2054975 51.6923238)
305014315,51.6919477,39.2085363,3,,,,POINT (39.2085363 51.6919477)
305014316,51.6917024,39.2088633,3,,,,POINT (39.2088633 51.6917024)
305014472,51.6929912,39.2142903,4,traffic_signals,,,POINT (39.2142903 51.6929912)
305626347,51.7041258,39.2720651,4,,,,POINT (39.2720651 51.7041258)
305627824,51.7050215,39.2657405,3,,,,POINT (39.2657405 51.7050215)
305627830,51.7064894,39.2634542,1,,,,POINT (39.2634542 51.7064894)
305628091,51.7050557,39.2650753,3,,,,POINT (39.2650753 51.7050557)
305628092,51.702842,39.267709,3,,,,POINT (39.267709 51.702842)
